Tarsha Williams,This limo company has the best customer service and has all the amenities..Limo driver was friendly
Necole Matlock,My family and I had a wonderdul time using the party bus. It was a great experience…i highly recommend this company.
Tisha Krakowski,We have used Stop & Go Airport Shuttle Service Inc several times. Our rides always show up on time and the customer service is always top notch. The drivers are all nice and we enjoy talking to them. If you need a ride call Vince! I always recommend this company.
Tisha Krakowski,We have used Stop & Go Airport Shuttle Service Inc several times. Our rides always show up on time and the customer service is always top notch. The drivers are all nice and we enjoy talking to them. If you need a ride call Vince! I always recommend this company.
Tamika Mcclellan,"I had a 7 day European vacation planned and needed reliable transport. I had never heard of this company but decided to cap and give it a try. Instantly from the guest phone conversation i knew i was in good hands. Friendly, engaging, and professional….and most importantly ON TIME! I scheduled a 10am pick up and at 9:59 he was at the door to pick me up…and when i returned to the states he was waiting on me at his assigned area. I felt like i was with family on the drive to and from the airport. Thank you for taking care of us. I will definitely use again and HIGHLY RECOMMEND!!!!!"
Kevin Walsh,"Vincent couldn't have been more professional and kinder getting our reservation in place for our family of 11 to be transported to and from O'Hara airport. As promised, our luxury shuttle arrived on time to drive us on the evening of our departure. Our driver Michael made us feel safe while driving the busy expressway to O'Hara so that we'd arrive on time for our international flight to Ireland. He also was very helpful and attentive loading and unloading our luggage. When we arrived back in Chicago, after a long flight from Ireland, we were again picked up immediately with no delay. Vincent and his son were extremely helpful loading and unloading all of our luggage. Again, we felt safe and well taken care of on the expressway driving home from the airport. We would highly recommend Stop & Go Airport Shuttle Service Inc. for any Special Events, because of the professional and kind service we received from start to finish!
Sincerely, Kevin & Mary Beth Walsh"
Ivette Nunez,"This company has always been phenomenal about providing us with transportation for my family and I for over 10 years! Vince provides exceptional service and great, clean vehicles that are always on time."
